job_id,employment_type,average_salary,benefits,remote,job_posting_url,posting_date,closing_date
0,Full-time,75499,"Gym membership, Health insurance, Vision insurance",True,http://hines-white.com/,12/25/2024,12/26/2024
1,Contract,56968,"Health insurance, Dental insurance, Professional development assistance",False,http://www.perez-martinez.com/,12/25/2024,12/26/2024
2,Internship,119903,"Remote work options, Professional development assistance, Childcare benefits",False,https://thomas.com/,12/25/2024,12/26/2024
3,Full-time,103989,"Remote work options, Professional development assistance, Childcare benefits",False,https://www.liu.net/,12/25/2024,12/26/2024
4,Internship,77611,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.hull.com/,12/25/2024,12/26/2024
5,Internship,98638,"Paid time off, Retirement plan, Parental leave",True,http://www.watson.info/,12/25/2024,12/26/2024
6,Part-time,138705,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.gutierrez.biz/,12/25/2024,12/26/2024
7,Part-time,106606,"Paid time off, Retirement plan, Parental leave",True,https://brown-macdonald.biz/,12/25/2024,12/26/2024
8,Contract,119282,"Remote work options, Professional development assistance, Childcare benefits",False,http://www.rose.com/,12/25/2024,12/26/2024
9,Full-time,56662,"Remote work options, Professional development assistance, Childcare benefits",False,https://www.lopez-gilbert.biz/,12/25/2024,12/26/2024
10,Contract,139647,"Health insurance, Dental insurance, Professional development assistance",True,https://www.jones-zamora.info/,12/25/2024,12/26/2024
11,Contract,121687,"Remote work options, Professional development assistance, Childcare benefits",True,http://www.stevenson-sullivan.com/,12/25/2024,12/26/2024
12,Part-time,46947,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.wagner.com/,12/25/2024,12/26/2024
13,Full-time,90311,"Gym membership, Health insurance, Vision insurance",False,http://www.steele.com/,12/25/2024,12/26/2024
14,Part-time,49906,"Health insurance, Dental insurance, Professional development assistance",False,http://www.mcguire-hunt.com/,12/25/2024,12/26/2024
15,Full-time,91365,"Remote work options, Professional development assistance, Childcare benefits",True,https://lang.com/,12/25/2024,12/26/2024
16,Full-time,92154,"Paid time off, Retirement plan, Parental leave",False,https://www.cox-sutton.info/,12/25/2024,12/26/2024
17,Internship,92296,"Remote work options, Professional development assistance, Childcare benefits",True,http://www.farmer.com/,12/25/2024,12/26/2024
18,Internship,116960,"Remote work options, Professional development assistance, Childcare benefits",False,http://www.palmer.biz/,12/25/2024,12/26/2024
19,Part-time,99989,"Paid time off, Retirement plan, Parental leave",True,https://www.cruz.biz/,12/25/2024,12/26/2024
20,Contract,57145,"Gym membership, Health insurance, Vision insurance",False,http://www.hobbs.info/,12/25/2024,12/26/2024
21,Internship,141230,"Health insurance, Dental insurance, Professional development assistance",True,http://shelton.com/,12/25/2024,12/26/2024
22,Contract,123758,"Health insurance, Dental insurance, Professional development assistance",False,https://www.anderson.com/,12/25/2024,12/26/2024
23,Contract,148354,"Paid time off, Retirement plan, Parental leave",True,https://landry.com/,12/25/2024,12/26/2024
24,Contract,104860,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.russo-gordon.com/,12/25/2024,12/26/2024
25,Part-time,62724,"Health insurance, Dental insurance, Professional development assistance",True,http://avery.org/,12/25/2024,12/26/2024
26,Contract,54579,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.brown.com/,12/25/2024,12/26/2024
27,Contract,74081,"Paid time off, Retirement plan, Parental leave",False,https://barnes.biz/,12/25/2024,12/26/2024
28,Contract,106180,"Paid time off, Retirement plan, Parental leave",False,https://www.park-rollins.com/,12/25/2024,12/26/2024
29,Contract,64167,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.wagner-smith.com/,12/25/2024,12/26/2024
30,Internship,96815,"Gym membership, Health insurance, Vision insurance",False,https://jackson.info/,12/25/2024,12/26/2024
31,Contract,48693,"Gym membership, Health insurance, Vision insurance",True,http://carpenter.com/,12/25/2024,12/26/2024
32,Contract,75052,"Paid time off, Retirement plan, Parental leave",True,https://www.miller.org/,12/25/2024,12/26/2024
33,Full-time,140177,"Gym membership, Health insurance, Vision insurance",True,https://good.biz/,12/25/2024,12/26/2024
34,Full-time,118471,"Gym membership, Health insurance, Vision insurance",False,https://lawrence.info/,12/25/2024,12/26/2024
35,Internship,62716,"Health insurance, Dental insurance, Professional development assistance",True,https://friedman.biz/,12/25/2024,12/26/2024
36,Part-time,64129,"Remote work options, Professional development assistance, Childcare benefits",False,http://www.martin-young.com/,12/25/2024,12/26/2024
37,Internship,133417,"Paid time off, Retirement plan, Parental leave",False,http://www.harrison.org/,12/25/2024,12/26/2024
38,Internship,86130,"Remote work options, Professional development assistance, Childcare benefits",True,https://russell.com/,12/25/2024,12/26/2024
39,Contract,138428,"Health insurance, Dental insurance, Professional development assistance",False,https://www.williams.biz/,12/25/2024,12/26/2024
40,Full-time,53724,"Health insurance, Dental insurance, Professional development assistance",True,https://www.burnett.com/,12/25/2024,12/26/2024
41,Part-time,138291,"Health insurance, Dental insurance, Professional development assistance",False,https://anderson.biz/,12/25/2024,12/26/2024
42,Full-time,53964,"Health insurance, Dental insurance, Professional development assistance",False,http://www.stewart.net/,12/25/2024,12/26/2024
43,Contract,70567,"Health insurance, Dental insurance, Professional development assistance",True,http://www.hansen.com/,12/25/2024,12/26/2024
44,Internship,89549,"Paid time off, Retirement plan, Parental leave",True,https://clark.org/,12/25/2024,12/26/2024
45,Part-time,78294,"Paid time off, Retirement plan, Parental leave",False,https://www.mcdonald.com/,12/25/2024,12/26/2024
46,Part-time,44306,"Health insurance, Dental insurance, Professional development assistance",False,https://www.clark.info/,12/25/2024,12/26/2024
47,Full-time,116663,"Health insurance, Dental insurance, Professional development assistance",True,http://long-anderson.com/,12/25/2024,12/26/2024
48,Part-time,116399,"Paid time off, Retirement plan, Parental leave",False,https://lamb.biz/,12/25/2024,12/26/2024
49,Contract,62754,"Remote work options, Professional development assistance, Childcare benefits",True,http://simmons-hammond.net/,12/25/2024,12/26/2024
50,Full-time,75702,"Gym membership, Health insurance, Vision insurance",True,https://ray-palmer.net/,12/25/2024,12/26/2024
51,Full-time,130462,"Remote work options, Professional development assistance, Childcare benefits",True,https://www.smith.com/,12/25/2024,12/26/2024
52,Contract,145218,"Remote work options, Professional development assistance, Childcare benefits",True,http://www.lewis.info/,12/25/2024,12/26/2024
53,Internship,123735,"Gym membership, Health insurance, Vision insurance",False,http://www.jones.com/,12/25/2024,12/26/2024
54,Internship,140384,"Health insurance, Dental insurance, Professional development assistance",False,http://www.romero-decker.net/,12/25/2024,12/26/2024
55,Internship,129619,"Health insurance, Dental insurance, Professional development assistance",True,https://peters.com/,12/25/2024,12/26/2024
56,Part-time,48269,"Paid time off, Retirement plan, Parental leave",False,http://simmons.com/,12/25/2024,12/26/2024
57,Full-time,62123,"Health insurance, Dental insurance, Professional development assistance",True,http://www.tyler.com/,12/25/2024,12/26/2024
58,Part-time,149573,"Remote work options, Professional development assistance, Childcare benefits",False,https://www.sutton.com/,12/25/2024,12/26/2024
59,Internship,134103,"Remote work options, Professional development assistance, Childcare benefits",False,http://www.clark.org/,12/25/2024,12/26/2024
